Category,level_1,Rank,Player,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Top Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Attacking,46,37,Ismaila Sarr,,,,,,,,,,,1,6,17,24,15,2,2,3.68,1.09x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,47,37,Nicolas Pepe,,,,,,,,,,,1,3,6,33,5,1,0,1.42,1.41x,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,48,37,Soufiane Rahimi,,,,,,,,,,,1,4,6,33,5,1,2,1.59,1.26x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,49,37,Chemsdine Talbi,,,,,,,,,,,1,0,2,0,1,1,0,0.05,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,0,1,Rodri,799,747,93,3,0,2,21,90,11,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,1,2,Pau Cubarsi,690,668,97,1,0,0,7,71,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,2,3,Aymeric Laporte,660,618,94,0,0,0,12,58,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,3,4,Leandro Paredes,565,532,94,2,50,3,8,38,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,4,5,Marc Guehi,532,514,97,0,0,2,10,70,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,5,6,Enzo Fernandez,519,480,92,5,40,5,21,71,8,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,6,7,Ezri Konsa,488,469,96,3,0,1,3,100,3,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,7,8,Manuel Akanji,479,444,93,0,0,0,8,88,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,8,9,Marc Cucurella,474,433,91,15,20,1,13,54,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,9,10,Granit Xhaka,470,427,91,4,0,2,15,47,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,10,11,Pedri,469,420,90,14,36,2,16,75,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,11,12,Lisandro Martinez,450,422,94,3,0,2,9,67,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,12,13,Achraf Hakimi,449,402,90,38,32,11,7,86,6,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,13,14,Elliot Anderson,445,396,89,6,50,1,17,71,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,14,15,Dayot Upamecano,443,409,92,0,0,2,6,67,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,15,16,Nico Elvedi,438,406,93,0,0,3,2,50,5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,16,17,Neil El Aynaoui,433,405,94,0,0,1,3,0,3,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,17,18,Gabriel Magalhaes,431,413,96,0,0,0,2,50,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,18,19,Alexis Mac Allister,430,393,91,1,0,1,3,33,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,19,19,Cristian Romero,430,415,97,0,0,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,20,21,Sander Berge,425,412,97,2,0,1,4,75,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,21,22,Pedro Porro,420,379,90,19,26,3,17,35,9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,22,23,Michael Olise,417,362,87,20,25,17,28,75,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,23,24,Vitinha,403,379,94,0,0,2,7,71,11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,24,25,Brandon Mechele,399,369,92,0,0,1,4,50,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,25,26,Ramy Bensebaini,385,359,93,0,0,1,8,38,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,26,27,Aissa Mandi,382,357,93,0,0,0,5,20,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,27,28,Marquinhos,380,367,97,1,100,0,4,75,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,28,29,Jonathan Tah,375,364,97,1,0,1,3,100,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,29,30,Joshua Kimmich,368,336,91,25,20,1,9,56,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,30,31,Martin Odegaard,367,322,88,16,19,3,18,56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,31,31,Lionel Messi,367,288,78,46,39,25,36,58,5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,32,33,Davinson Sanchez,361,324,90,0,0,1,10,20,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,33,34,Jan Paul Van Hecke,360,335,93,1,0,1,5,60,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,34,35,Marawan Attia,357,313,88,8,38,0,15,47,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,35,36,Jules Kounde,353,314,89,15,13,0,7,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,36,37,Adrien Rabiot,351,323,92,2,0,2,13,77,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,37,38,Virgil Van Dijk,347,330,95,0,0,1,1,100,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,38,39,Declan Rice,340,312,92,40,38,2,12,50,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,39,40,Renato Veiga,336,320,95,0,0,1,4,50,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,40,41,Rodrigo De Paul,327,300,92,13,38,2,9,67,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,41,42,Issa Diop,326,299,92,0,0,0,3,0,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,42,43,Remo Freuler,324,299,92,5,20,0,7,71,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,43,44,Azzedine Ounahi,315,281,89,6,33,8,17,65,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,44,44,William Saliba,315,307,97,0,0,1,1,0,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,45,46,Unai Simon,314,253,81,0,0,0,5,20,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,46,47,Torbjorn Heggem,301,282,94,0,0,1,4,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,47,48,Tim Ream,298,281,94,0,0,2,6,33,5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,48,49,Pedro Vite,297,269,91,7,43,1,9,56,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution,49,49,Ousmane Dembele,297,236,79,36,17,9,29,62,6,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defending,0,1,Mohamed Hany,,,,,,,,,,,,,,,,,,,,,2,10,90,11,,,,,,,,,,,,,,,,,,,,,,,
Defending,1,2,Yassine Bounou,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,2,2,Ellyes Skhiri,,,,,,,,,,,,,,,,,,,,,1,10,40,10,,,,,,,,,,,,,,,,,,,,,,,
Defending,3,2,Damian Bobadilla,,,,,,,,,,,,,,,,,,,,,1,5,95,22,,,,,,,,,,,,,,,,,,,,,,,
Defending,4,2,Mahmoud Abunada,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Defending,5,2,Hassan Altambakti,,,,,,,,,,,,,,,,,,,,,1,5,26,7,,,,,,,,,,,,,,,,,,,,,,,
Defending,6,2,Mohamed Manai,,,,,,,,,,,,,,,,,,,,,1,2,52,3,,,,,,,,,,,,,,,,,,,,,,,
Defending,7,2,Yazan Alarab,,,,,,,,,,,,,,,,,,,,,1,10,28,16,,,,,,,,,,,,,,,,,,,,,,,
Defending,8,2,Aymen Hussein,,,,,,,,,,,,,,,,,,,,,1,5,60,3,,,,,,,,,,,,,,,,,,,,,,,
Defending,9,2,Diney Borges,,,,,,,,,,,,,,,,,,,,,1,5,29,16,,,,,,,,,,,,,,,,,,,,,,,
Defending,10,2,Miro Muheim,,,,,,,,,,,,,,,,,,,,,1,3,16,1,,,,,,,,,,,,,,,,,,,,,,,
